key;numDMI;Criterio
0013a20040ebxxxx;AA0002;sin datos 1 mes
0013a20040ebacf1;AA0003;sin datos 1 mes
0013a20040ebacf2;AA0007;sin datos 1 mes
0013a20040ebacf4;AA0008;sin datos 1 mes
0013a20040ebacef;AA0009;sin datos 1 mes
0013a20040ebacf5;AA0010;sin datos 1 mes
0013a20040ebaf91;AA0011;sin datos 1 mes
0013a20040ebacfd;AA0012;sin datos 1 mes
0013a20040ebaf9a;AA0013;sin datos 1 mes
0013a20040ebacfc;AA0014;sin datos 1 mes
0013a20040ebacad;AA0018;sin datos 1 mes
0013a20040ebacfb;AA0020;sin datos 1 mes
0013a20040ebaf97;AA0023;sin datos 1 mes
0013a20040ebacfa;AA0024;sin datos 1 mes
0013a20040ebaf9b;AA0027;sin datos 1 mes
0013a20040ebacf7;AA0030;sin datos 1 mes
0013a20040ebb1e2;AA0031;sin datos 1 mes
0013a20040ebb1b1;AA0036;sin datos 1 mes
0013a20040ebb195;AA0039;sin datos 1 mes
0013a20040ebb1ae;AA0040;sin datos 1 mes
0013a20040ebb1d9;AA0041;sin datos 1 mes
0013a20040ebb1e1;AA0042;sin datos 1 mes
0013a20040ebb186;AA0043;sin datos 1 mes
0013a20040ebb199;AA0045;sin datos 1 mes
0013a20040ebb178;AA0047;sin datos 1 mes
0013a20040ebb197;AA0050;sin datos 1 mes
0013a20040ebb196;AA0051;sin datos 1 mes
0013a20040ebb1a6;AA0053;sin datos 1 mes
0013a20040ebb1a0;AA0054;sin datos 1 mes
0013a20040ebb1c2;AA0057;sin datos 1 mes
0013a20040ebb17d;AA0058;sin datos 1 mes
0013a20040ebb1be;AA0062;sin datos 1 mes
0013a20040ebb1c7;AA0064;sin datos 1 mes
0013a20040ebb1b7;AA0067;sin datos 1 mes
0013a20040ebb1c4;AA0070;sin datos 1 mes
0013a20040ebb18e;AA0072;sin datos 1 mes
0013a20040ebb1b9;AA0073;sin datos 1 mes
0013a20040ebb1b2;AA0079;sin datos 1 mes
0013a20040ebb1aa;AA0080;sin datos 1 mes
0013a20040ebb1b4;AA0081;sin datos 1 mes
0013a20040ebb1e6;AA0084;sin datos 1 mes
0013a20040ebb0f5;AA0087;sin datos 1 mes
0013a20040ebb1e3;AA0088;sin datos 1 mes
0013a20040ebb1d8;AA0089;sin datos 1 mes
0013a20040ebb1da;AA0090;sin datos 1 mes
0013a20040ebb1d0;AA0093;sin datos 1 mes
0013a20040ebb1d3;AA0094;sin datos 1 mes
0013a20040ebb1a5;AA0097;sin datos 1 mes
0013a20040ebb1ea;AA0098;sin datos 1 mes
0013a20040ebb1a4;AA0100;sin datos 1 mes
0013a20040ebaff4;AA0101;sin datos 1 mes
0013a20040ebb1a1;AA0104;sin datos 1 mes
0013a20040ebb1cd;AA0106;sin datos 1 mes
0013a20040ebb1ac;AA0110;sin datos 1 mes
0013a20040ebb194;AA0113;sin datos 1 mes
0013a20040ebb1e4;AA0114;sin datos 1 mes
0013a20040ebb1a7;AA0117;sin datos 1 mes
0013a20040ebb1e7;AA0118;sin datos 1 mes
0013a20040f5cb03;AA0121;sin datos 1 mes
0013a20040f5cb11;AA0122;sin datos 1 mes
0013a20040f5cb07;AA0123;sin datos 1 mes
0013a20040f5cb0e;AA0127;sin datos 1 mes
0013a20040f5cb0f;AA0130;sin datos 1 mes
0013a20040ebaff1;AA0134;sin datos 1 mes
0013a20040f5cb0c;AA0135;sin datos 1 mes
0013a20040f5cb10;AA0136;sin datos 1 mes
0013a20040f5ca48;AA0139;sin datos 1 mes
0013a20040f5caf6;AA0141;sin datos 1 mes
0013a20040f5ca4c;AA0144;sin datos 1 mes
0013a20040f5ca47;AA0145;sin datos 1 mes
0013a20040f5cb02;AA0149;sin datos 1 mes
0013a20040f5cb13;AA0150;sin datos 1 mes
0013a20040f5cb01;AA0151;sin datos 1 mes
0013a20040f5cb0a;AA0152;sin datos 1 mes
0013a20040f5cb00;AA0154;sin datos 1 mes
0013a20040f5cb04;AA0155;sin datos 1 mes
0013a20040f5ca99;AA0156;sin datos 1 mes
0013a20040f5cb0d;AA0157;sin datos 1 mes
0013a20040f5ca54;AA0161;sin datos 1 mes
0013a20040f5ca59;AA0162;sin datos 1 mes
0013a20040f5ca53;AA0165;sin datos 1 mes
0013a20040f5ca4b;AA0168;sin datos 1 mes
0013a20040f5ca52;AA0171;sin datos 1 mes
0013a20040f5ca5f;AA0172;sin datos 1 mes
0013a20040f5ca62;AA0179;sin datos 1 mes
