"";"key";"numDMI";"Criterio"
"1";"0013a20040ebxxxx";"AA0002";"sin datos 1 mes"
"2";"0013a20040ebacf1";"AA0003";"sin datos 1 mes"
"3";"0013a20040ebacf2";"AA0007";"sin datos 1 mes"
"4";"0013a20040ebacf4";"AA0008";"sin datos 1 mes"
"5";"0013a20040ebacef";"AA0009";"sin datos 1 mes"
"6";"0013a20040ebacf5";"AA0010";"sin datos 1 mes"
"7";"0013a20040ebaf91";"AA0011";"sin datos 1 mes"
"8";"0013a20040ebacfd";"AA0012";"sin datos 1 mes"
"9";"0013a20040ebaf9a";"AA0013";"sin datos 1 mes"
"10";"0013a20040ebacfc";"AA0014";"sin datos 1 mes"
"11";"0013a20040ebacad";"AA0018";"sin datos 1 mes"
"12";"0013a20040ebacfb";"AA0020";"sin datos 1 mes"
"13";"0013a20040ebaf97";"AA0023";"sin datos 1 mes"
"14";"0013a20040ebacfa";"AA0024";"sin datos 1 mes"
"15";"0013a20040ebaf9b";"AA0027";"sin datos 1 mes"
"16";"0013a20040ebacf7";"AA0030";"sin datos 1 mes"
"17";"0013a20040ebb1e2";"AA0031";"sin datos 1 mes"
"18";"0013a20040ebb1b1";"AA0036";"sin datos 1 mes"
"19";"0013a20040ebb195";"AA0039";"sin datos 1 mes"
"20";"0013a20040ebb1ae";"AA0040";"sin datos 1 mes"
"21";"0013a20040ebb1d9";"AA0041";"sin datos 1 mes"
"22";"0013a20040ebb1e1";"AA0042";"sin datos 1 mes"
"23";"0013a20040ebb186";"AA0043";"sin datos 1 mes"
"24";"0013a20040ebb199";"AA0045";"sin datos 1 mes"
"25";"0013a20040ebb178";"AA0047";"sin datos 1 mes"
"26";"0013a20040ebb197";"AA0050";"sin datos 1 mes"
"27";"0013a20040ebb196";"AA0051";"sin datos 1 mes"
"28";"0013a20040ebb1a6";"AA0053";"sin datos 1 mes"
"29";"0013a20040ebb1a0";"AA0054";"sin datos 1 mes"
"30";"0013a20040ebb1c2";"AA0057";"sin datos 1 mes"
"31";"0013a20040ebb17d";"AA0058";"sin datos 1 mes"
"32";"0013a20040ebb1be";"AA0062";"sin datos 1 mes"
"33";"0013a20040ebb1c7";"AA0064";"sin datos 1 mes"
"34";"0013a20040ebb1b7";"AA0067";"sin datos 1 mes"
"35";"0013a20040ebb1c4";"AA0070";"sin datos 1 mes"
